Субъект,Значение
Москва, 0.5
Московская область, 0.1
Республика Адыгея,0.00
Республика Алтай,0.00
Республика Башкортостан,0.42
Республика Бурятия,0.00
Республика Дагестан,0.00
Республика Ингушетия,0.00
Кабардино-Балкарская Республика,0.00
Республика Калмыкия,0.42
Карачаево-Черкесская Республика,0.00
Республика Карелия,0.00
Республика Коми,0.00
Республика Крым,0.00
Республика Марий Эл,0.37
Республика Мордовия,0.00
Республика Саха (Якутия),0.00
Республика Северная Осетия,0.00
Республика Татарстан,0.35
Республика Тыва,0.00
Удмуртская Республика,0.35
Республика Хакасия,0.27
Чеченская Республика,0.00
Чувашская Республика,0.31
Алтайский край,0.41
Забайкальский край,0.00
Камчатский край,0.00
Краснодарский край,0.35
Красноярский край,0.32
Пермский край,0.34
Приморский край,0.00
Ставропольский край,0.43
Хабаровский край,0.00
Амурская область,0.00
Архангельская область,0.00
Ненецкий автономный округ,0.00
Астраханская область,0.41
Белгородская область,0.39
Брянская область,0.00
Владимирская область,0.43
Волгоградская область,0.37
Вологодская область,0.45
Воронежская область,0.34
Ивановская область,0.51
Иркутская область,0.00
Калининградская область,0.00
Калужская область,0.49
Кемеровская область,0.46
Кировская область,0.30
Костромская область,0.43
Курганская область,0.32
Курская область,0.55
Ленинградская область,0.00
Липецкая область,0.45
Магаданская область,0.00
Мурманская область,0.00
Нижегородская область,0.33
Новгородская область,0.38
Новосибирская область,0.49
Омская область,0.40
Оренбургская область,0.36
Орловская область,0.00
Пензенская область,0.41
Псковская область,0.36
Ростовская область,0.35
Рязанская область,0.66
Самарская область,0.35
Саратовская область,0.32
Сахалинская область,0.00
Свердловская область,0.41
Смоленская область,0.45
Тамбовская область,0.58
Тверская область,0.58
Томская область,0.00
Тульская область,0.54
Тюменская область,0.51
Ханты-Мансийский АО - Югра,0.00
Ямало-Ненецкий автономный округ,0.00
Ульяновская область,0.30
Челябинская область,0.32
Ярославская область,0.42
Москва Север,0.35
Москва Юго-Запад,0.34
Москва Восток,0.34
Санкт-Петербург,0.29
Севастополь,0.00
Еврейская автономная область,0.00
Чукотский автономный округ,0.00