Субъект,Подзаказное пополнение,Выполнение плана в регионах,Доля Перекупов в Регионе,Доля услуг в валовой прибыли
Республика Адыгея,0.00,0.00,0.00,0.00
Республика Алтай,0.00,0.00,0.00,0.00
Республика Башкортостан,0.42,0.50,0.13,0.05
Республика Бурятия,0.00,0.00,0.00,0.00
Республика Дагестан,0.00,0.00,0.00,0.00
Республика Ингушетия,0.00,0.00,0.00,0.00
Кабардино-Балкарская Республика,0.00,0.00,0.00,0.00
Республика Калмыкия,0.42,0.48,0.07,0.06
Карачаево-Черкесская Республика,0.00,0.00,0.00,0.00
Республика Карелия,0.00,0.00,0.00,0.00
Республика Коми,0.00,0.00,0.00,0.00
Республика Крым,0.00,0.00,0.00,0.00
Республика Марий Эл,0.37,0.49,0.40,0.05
Республика Мордовия,0.00,0.00,0.00,0.00
Республика Саха (Якутия),0.00,0.00,0.00,0.00
Республика Северная Осетия — Алания,0.00,0.00,0.00,0.00
Республика Татарстан,0.35,0.47,0.18,0.04
Республика Тыва,0.00,0.00,0.00,0.00
Удмуртская Республика,0.35,0.51,0.12,0.03
Республика Хакасия,0.27,0.49,0.22,0.09
Чеченская Республика,0.00,0.00,0.00,0.00
Чувашская Республика,0.31,0.52,0.19,0.04
Алтайский край,0.41,0.29,0.23,0.08
Забайкальский край,0.00,0.00,0.00,0.00
Камчатский край,0.00,0.00,0.00,0.00
Краснодарский край,0.35,0.48,0.22,0.03
Красноярский край,0.32,0.44,0.37,0.04
Пермский край,0.34,0.45,0.15,0.03
Приморский край,0.00,0.00,0.00,0.00
Ставропольский край,0.43,0.50,0.26,0.03
Хабаровский край,0.00,0.00,0.00,0.00
Амурская область,0.00,0.00,0.00,0.00
Архангельская область,0.00,0.00,0.00,0.00
Ненецкий автономный округ,0.00,0.00,0.00,0.00
Астраханская область,0.41,0.44,0.15,0.04
Белгородская область,0.39,0.57,0.05,0.07
Брянская область,0.00,0.00,0.00,0.00
Владимирская область,0.43,0.42,0.26,0.07
Волгоградская область,0.37,0.49,0.19,0.03
Вологодская область,0.45,0.52,0.19,0.07
Воронежская область,0.34,0.47,0.16,0.03
Ивановская область,0.51,0.50,0.09,0.04
Иркутская область,0.00,0.00,0.00,0.00
Калининградская область,0.00,0.00,0.00,0.00
Калужская область,0.49,0.43,0.21,0.05
Кемеровская область,0.46,0.40,0.14,0.07
Кировская область,0.30,0.44,0.15,0.03
Костромская область,0.43,0.44,0.19,0.04
Курганская область,0.32,0.29,0.44,0.06
Курская область,0.55,0.51,0.13,0.04
Ленинградская область,0.00,0.00,0.00,0.00
Липецкая область,0.45,0.52,0.24,0.04
Магаданская область,0.00,0.00,0.00,0.00
Мурманская область,0.00,0.00,0.00,0.00
Нижегородская область,0.33,0.49,0.18,0.04
Новгородская область,0.38,0.48,0.18,0.09
Новосибирская область,0.49,0.53,0.13,0.04
Омская область,0.40,0.40,0.31,0.05
Оренбургская область,0.36,0.47,0.27,0.05
Орловская область,0.00,0.00,0.00,0.00
Пензенская область,0.41,0.53,0.16,0.03
Псковская область,0.36,0.44,0.35,0.09
Ростовская область,0.35,0.43,0.14,0.03
Рязанская область,0.66,0.38,0.18,0.03
Самарская область,0.35,0.69,0.11,0.03
Саратовская область,0.32,0.45,0.15,0.03
Сахалинская область,0.00,0.00,0.00,0.00
Свердловская область,0.41,0.50,0.23,0.03
Смоленская область,0.45,0.37,0.04,0.03
Тамбовская область,0.58,0.52,0.12,0.04
Тверская область,0.58,0.56,0.10,0.04
Томская область,0.00,0.00,0.00,0.00
Тульская область,0.54,0.51,0.34,0.04
Тюменская область,0.51,0.60,0.28,0.03
Ханты-Мансийский АО - Югра,0.00,0.00,0.00,0.00
Ямало-Ненецкий автономный округ,0.00,0.00,0.00,0.00
Ульяновская область,0.30,0.49,0.28,0.03
Челябинская область,0.32,0.47,0.15,0.05
Ярославская область,0.42,0.46,0.22,0.03
Москва Север,0.35,0.47,0.21,0.05
Москва Юго-Запад,0.34,0.55,0.32,0.05
Москва Восток,0.34,0.49,0.35,0.03
Санкт-Петербург,0.29,0.47,0.16,0.04
Севастополь,0.00,0.00,0.00,0.00
Еврейская автономная область,0.00,0.00,0.00,0.00
Чукотский автономный округ,0.00,0.00,0.00,0.00